标记点（置信度）,标记点,x坐标,y坐标,,
joint 0.91,joint ,2139,1250,,
lower_leg 0.89,lower_leg ,1980,2200,,
joint 0.91,joint ,2156.5,1249,,
upper_leg 0.92,upper_leg ,1906,432.5,,
lower_leg 0.90,lower_leg ,1970,2187.5,,
joint 0.90,joint ,2164,1243.5,,
upper_leg 0.92,upper_leg ,1911,435,,
lower_leg 0.90,lower_leg ,1911,2156.5,,
joint 0.91,joint ,2176.5,1232,,
upper_leg 0.92,upper_leg ,1917,429.5,,
lower_leg 0.90,lower_leg ,1911,2156.5,,
joint 0.91,joint ,2176.5,1232,,
upper_leg 0.92,upper_leg ,1917,429.5,,
joint 0.86,joint ,2198.5,1205.5,,
lower_leg 0.90,lower_leg ,1780,2072,,
upper_leg 0.92,upper_leg ,1931.5,409.5,,
lower_leg 0.88,lower_leg ,1742,2023.5,,
upper_leg 0.91,upper_leg ,1953,404,,
joint 0.91,joint ,2225,1201.5,,
joint 0.89,joint ,2301.5,1186,,
upper_leg 0.89,upper_leg ,2009.5,395,,
lower_leg 0.90,lower_leg ,1692,1922,,
joint 0.90,joint ,2326.5,1183.5,,
lower_leg 0.91,lower_leg ,1679.5,1882.5,,
upper_leg 0.91,upper_leg ,2031,397.5,,
lower_leg 0.88,lower_leg ,1658,1839.5,,
joint 0.89,joint ,2347,1181.5,,
upper_leg 0.89,upper_leg ,2051.5,398,,
lower_leg 0.89,lower_leg ,1631,1789,,
upper_leg 0.90,upper_leg ,2065.5,399,,
joint 0.91,joint ,2365.5,1184.5,,
lower_leg 0.89,lower_leg ,1631,1789,,
upper_leg 0.90,upper_leg ,2065.5,399,,
joint 0.90,joint ,2365.5,1184.5,,
upper_leg 0.89,upper_leg ,2103,384.5,,
lower_leg 0.89,lower_leg ,1601,1667,,
joint 0.91,joint ,2409.5,1168.5,,
lower_leg 0.90,lower_leg ,1593.5,1631.5,,
joint 0.91,joint ,2420.5,1163.5,,
upper_leg 0.91,upper_leg ,2112.5,387,,
lower_leg 0.90,lower_leg ,1593.5,1631.5,,
joint 0.91,joint ,2420.5,1163.5,,
upper_leg 0.91,upper_leg ,2112.5,387,,
upper_leg 0.89,upper_leg ,2151.5,369.5,,
lower_leg 0.89,lower_leg ,1614,1558.5,,
joint 0.91,joint ,2465.5,1146,,
joint 0.90,joint ,2487.5,1137.5,,
upper_leg 0.91,upper_leg ,2170,363.5,,
lower_leg 0.91,lower_leg ,1617.5,1515,,
joint 0.90,joint ,2487.5,1137.5,,
upper_leg 0.91,upper_leg ,2170,363.5,,
lower_leg 0.91,lower_leg ,1617.5,1515,,
lower_leg 0.88,lower_leg ,1606.5,1429.5,,
joint 0.90,joint ,2500,1125,,
upper_leg 0.91,upper_leg ,2195,349,,
lower_leg 0.90,lower_leg ,1587,1398,,
joint 0.90,joint ,2489,1120.5,,
upper_leg 0.91,upper_leg ,2195,342.5,,
joint 0.90,joint ,2475,1121,,
lower_leg 0.90,lower_leg ,1572,1383.5,,
upper_leg 0.92,upper_leg ,2186,339.5,,
lower_leg 0.89,lower_leg ,1558.5,1376,,
joint 0.91,joint ,2469,1114,,
upper_leg 0.92,upper_leg ,2176.5,339,,
lower_leg 0.89,lower_leg ,1558.5,1376,,
joint 0.91,joint ,2469,1114,,
upper_leg 0.92,upper_leg ,2176.5,339,,
lower_leg 0.89,lower_leg ,1563.5,1418,,
joint 0.91,joint ,2460.5,1126,,
upper_leg 0.92,upper_leg ,2167,345,,
upper_leg 0.90,upper_leg ,2165.5,349.5,,
lower_leg 0.91,lower_leg ,1578,1473.5,,
joint 0.91,joint ,2464,1131,,
upper_leg 0.90,upper_leg ,2164,351,,
lower_leg 0.91,lower_leg ,1578,1473.5,,
joint 0.91,joint ,2464,1131,,
lower_leg 0.90,lower_leg ,1663.5,1628.5,,
upper_leg 0.90,upper_leg ,2154.5,358,,
joint 0.91,joint ,2472,1131,,
upper_leg 0.90,upper_leg ,2153,357.5,,
lower_leg 0.90,lower_leg ,1720.5,1712.5,,
joint 0.90,joint ,2478,1129.5,,
