标记点（置信度）,标记点,x坐标,y坐标,,
joint 0.91,joint ,2539,1154,,
joint 0.89,joint ,2453,1174,,
lower_leg 0.90,lower_leg ,2470,2136,,
upper_leg 0.90,upper_leg ,2112.5,410.5,,
joint 0.90,joint ,2398.5,1180.5,,
lower_leg 0.91,lower_leg ,2328,2142,,
upper_leg 0.91,upper_leg ,2073.5,407.5,,
joint 0.90,joint ,2398.5,1180.5,,
lower_leg 0.91,lower_leg ,2328,2142,,
upper_leg 0.91,upper_leg ,2073.5,407.5,,
lower_leg 0.90,lower_leg ,2070.5,2164,,
joint 0.91,joint ,2237.5,1207.5,,
upper_leg 0.92,upper_leg ,1976.5,410.5,,
joint 0.91,joint ,2159,1211,,
lower_leg 0.91,lower_leg ,1975,2176.5,,
upper_leg 0.92,upper_leg ,1928,413,,
joint 0.89,joint ,2098.5,1223,,
lower_leg 0.91,lower_leg ,1893.5,2178,,
upper_leg 0.92,upper_leg ,1880,411,,
lower_leg 0.89,lower_leg ,1817,2187.5,,
upper_leg 0.90,upper_leg ,1840.5,403.5,,
joint 0.91,joint ,2036,1226,,
upper_leg 0.89,upper_leg ,1808,405,,
lower_leg 0.89,lower_leg ,1775,2197,,
joint 0.90,joint ,1979.5,1236,,
upper_leg 0.89,upper_leg ,1808,405.5,,
lower_leg 0.89,lower_leg ,1775,2197,,
joint 0.90,joint ,1979.5,1236,,
lower_leg 0.87,lower_leg ,1750,2214,,
upper_leg 0.90,upper_leg ,1767,392,,
joint 0.91,joint ,1931,1245.5,,
upper_leg 0.89,upper_leg ,1745.5,386.5,,
lower_leg 0.89,lower_leg ,1736,2225,,
joint 0.89,joint ,1897,1241.5,,
upper_leg 0.89,upper_leg ,1745.5,386.5,,
lower_leg 0.89,lower_leg ,1736,2225,,
joint 0.89,joint ,1898.5,1241.5,,
lower_leg 0.90,lower_leg ,1717.5,2229.5,,
joint 0.91,joint ,1842.5,1244.5,,
upper_leg 0.92,upper_leg ,1729.5,366,,
lower_leg 0.89,lower_leg ,1709,2229.5,,
joint 0.91,joint ,1823.5,1242.5,,
upper_leg 0.91,upper_leg ,1728,357,,
lower_leg 0.89,lower_leg ,1709,2229.5,,
joint 0.91,joint ,1823.5,1242.5,,
upper_leg 0.91,upper_leg ,1728,357,,
lower_leg 0.89,lower_leg ,1713.5,2231,,
joint 0.91,joint ,1825,1240,,
upper_leg 0.91,upper_leg ,1740.5,345,,
lower_leg 0.89,lower_leg ,1717.5,2231,,
joint 0.91,joint ,1831.5,1239,,
upper_leg 0.91,upper_leg ,1750,343,,
lower_leg 0.89,lower_leg ,1717.5,2233,,
joint 0.91,joint ,1833,1240,,
upper_leg 0.91,upper_leg ,1756,339,,
lower_leg 0.89,lower_leg ,1717.5,2233,,
joint 0.91,joint ,1833,1239,,
upper_leg 0.91,upper_leg ,1756,339,,
lower_leg 0.89,lower_leg ,1714,2234.5,,
joint 0.91,joint ,1830,1235.5,,
upper_leg 0.91,upper_leg ,1750,334,,
lower_leg 0.89,lower_leg ,1714,2237.5,,
joint 0.91,joint ,1830,1238,,
upper_leg 0.92,upper_leg ,1748.5,331,,
lower_leg 0.89,lower_leg ,1714,2237.5,,
joint 0.91,joint ,1830,1238,,
upper_leg 0.92,upper_leg ,1748.5,331,,
lower_leg 0.90,lower_leg ,1720.5,2251.5,,
joint 0.91,joint ,1839,1251,,
upper_leg 0.92,upper_leg ,1753,329.5,,
lower_leg 0.90,lower_leg ,1726.5,2258,,
joint 0.91,joint ,1851.5,1259.5,,
upper_leg 0.91,upper_leg ,1762.5,334.5,,
joint 0.90,joint ,1853,1264,,
lower_leg 0.90,lower_leg ,1725,2262.5,,
upper_leg 0.92,upper_leg ,1761,335.5,,
lower_leg 0.90,lower_leg ,1718.5,2265.5,,
upper_leg 0.91,upper_leg ,1750,335.5,,
joint 0.92,joint ,1848.5,1260,,
lower_leg 0.90,lower_leg ,1717.5,2265.5,,
upper_leg 0.91,upper_leg ,1750,333.5,,
joint 0.92,joint ,1848.5,1258.5,,
lower_leg 0.90,lower_leg ,1717.5,2265.5,,
upper_leg 0.91,upper_leg ,1750,333.5,,
joint 0.92,joint ,1848.5,1258.5,,
joint 0.90,joint ,1869,1257.5,,
lower_leg 0.91,lower_leg ,1734.5,2259.5,,
upper_leg 0.92,upper_leg ,1784,335.5,,
lower_leg 0.88,lower_leg ,1748.5,2254.5,,
joint 0.90,joint ,1903,1260,,
upper_leg 0.92,upper_leg ,1823.5,339.5,,
lower_leg 0.87,lower_leg ,1764,2243.5,,
upper_leg 0.92,upper_leg ,1871.5,344.5,,
joint 0.92,joint ,1936,1257,,
lower_leg 0.87,lower_leg ,1764,2243.5,,
upper_leg 0.92,upper_leg ,1871.5,344.5,,
joint 0.92,joint ,1936,1257,,
lower_leg 0.85,lower_leg ,1892,2200,,
joint 0.91,joint ,2126.5,1251,,
upper_leg 0.92,upper_leg ,2025,353,,
lower_leg 0.88,lower_leg ,2046.5,2146.5,,
joint 0.89,joint ,2348.5,1235,,
upper_leg 0.91,upper_leg ,2196.5,355,,
lower_leg 0.88,lower_leg ,2046.5,2146.5,,
joint 0.89,joint ,2348.5,1235.5,,
upper_leg 0.91,upper_leg ,2196.5,355,,
upper_leg 0.90,upper_leg ,2484,308.5,,
lower_leg 0.90,lower_leg ,2576.5,2121.5,,
joint 0.93,joint ,2729.5,1154,,
lower_leg 0.86,lower_leg ,2806,2100,,
upper_leg 0.90,upper_leg ,2587.5,285,,
joint 0.92,joint ,2867,1122,,
lower_leg 0.86,lower_leg ,2806,2098.5,,
upper_leg 0.90,upper_leg ,2587.5,285,,
joint 0.92,joint ,2867,1122,,
upper_leg 0.90,upper_leg ,2751.5,262,,
joint 0.91,joint ,3064,1090,,
lower_leg 0.91,lower_leg ,3036,2062.5,,
lower_leg 0.90,lower_leg ,3122,2056.5,,
upper_leg 0.91,upper_leg ,2800,256,,
joint 0.94,joint ,3124.5,1075,,
lower_leg 0.89,lower_leg ,3167.5,2062.5,,
upper_leg 0.91,upper_leg ,2842,253,,
joint 0.93,joint ,3173.5,1075,,
lower_leg 0.88,lower_leg ,3200.5,2087.5,,
joint 0.90,joint ,3202.5,1096,,
upper_leg 0.90,upper_leg ,2889,258.5,,
lower_leg 0.88,lower_leg ,3200.5,2087.5,,
joint 0.90,joint ,3202.5,1096,,
upper_leg 0.90,upper_leg ,2889,258.5,,
upper_leg 0.90,upper_leg ,2950,291.5,,
lower_leg 0.91,lower_leg ,3233.5,2123.5,,
joint 0.91,joint ,3252.5,1132,,
upper_leg 0.88,upper_leg ,3002,292.5,,
joint 0.89,joint ,3297,1141,,
lower_leg 0.90,lower_leg ,3268,2139,,
lower_leg 0.89,lower_leg ,3311.5,2142,,
upper_leg 0.90,upper_leg ,3063,293,,
joint 0.91,joint ,3350,1150,,
lower_leg 0.88,lower_leg ,3350,2143.5,,
upper_leg 0.91,upper_leg ,3141.5,291.5,,
joint 0.92,joint ,3428,1149,,
lower_leg 0.88,lower_leg ,3362.5,2148.5,,
joint 0.90,joint ,3456.5,1157,,
upper_leg 0.91,upper_leg ,3215,278.5,,
lower_leg 0.88,lower_leg ,3359.5,2148.5,,
joint 0.90,joint ,3456.5,1157,,
upper_leg 0.91,upper_leg ,3215,278.5,,
joint 0.89,joint ,3496.5,1155.5,,
lower_leg 0.89,lower_leg ,3378,2153,,
upper_leg 0.91,upper_leg ,3290.5,256,,
lower_leg 0.89,lower_leg ,3397,2161,,
joint 0.90,joint ,3512.5,1161,,
upper_leg 0.91,upper_leg ,3334,256.5,,
lower_leg 0.89,lower_leg ,3397,2161,,
joint 0.90,joint ,3512.5,1161,,
upper_leg 0.91,upper_leg ,3334,256.5,,
joint 0.90,joint ,3500,1164,,
lower_leg 0.90,lower_leg ,3381,2176.5,,
upper_leg 0.92,upper_leg ,3356,243,,
joint 0.89,joint ,3496.5,1165.5,,
lower_leg 0.91,lower_leg ,3378,2179.5,,
upper_leg 0.92,upper_leg ,3356,241,,
joint 0.89,joint ,3496.5,1165.5,,
lower_leg 0.91,lower_leg ,3378,2179.5,,
upper_leg 0.92,upper_leg ,3356,241,,
lower_leg 0.88,lower_leg ,3403,2181.5,,
joint 0.90,joint ,3521.5,1168.5,,
upper_leg 0.92,upper_leg ,3390.5,237.5,,
joint 0.88,joint ,3540.5,1170.5,,
lower_leg 0.89,lower_leg ,3413,2181,,
upper_leg 0.92,upper_leg ,3419,240,,
joint 0.88,joint ,3543.5,1167,,
lower_leg 0.88,lower_leg ,3406,2173.5,,
upper_leg 0.93,upper_leg ,3437,237,,
joint 0.88,joint ,3543.5,1167,,
lower_leg 0.88,lower_leg ,3406,2173.5,,
upper_leg 0.93,upper_leg ,3437,237,,
lower_leg 0.88,lower_leg ,3403,2167,,
joint 0.89,joint ,3543.5,1161.5,,
upper_leg 0.93,upper_leg ,3447,231.5,,
lower_leg 0.88,lower_leg ,3403,2165.5,,
joint 0.90,joint ,3540.5,1162.5,,
upper_leg 0.92,upper_leg ,3440.5,233,,
lower_leg 0.88,lower_leg ,3400,2170.5,,
joint 0.90,joint ,3537.5,1165,,
upper_leg 0.92,upper_leg ,3434,236.5,,
lower_leg 0.89,lower_leg ,3391,2175,,
joint 0.91,joint ,3519,1162,,
upper_leg 0.92,upper_leg ,3406,240.5,,
lower_leg 0.89,lower_leg ,3391,2175,,
joint 0.91,joint ,3519,1162,,
upper_leg 0.92,upper_leg ,3406,240.5,,
joint 0.89,joint ,3487.5,1167,,
lower_leg 0.91,lower_leg ,3375,2178,,
upper_leg 0.91,upper_leg ,3350,250,,
joint 0.89,joint ,3462.5,1169.5,,
lower_leg 0.90,lower_leg ,3362.5,2178,,
upper_leg 0.92,upper_leg ,3328,252,,
lower_leg 0.90,lower_leg ,3350,2176.5,,
joint 0.91,joint ,3437.5,1163.5,,
upper_leg 0.91,upper_leg ,3301,252,,
joint 0.89,joint ,3381.5,1162,,
upper_leg 0.91,upper_leg ,3250,251.5,,
lower_leg 0.91,lower_leg ,3328,2172,,
joint 0.89,joint ,3287.5,1161.5,,
lower_leg 0.90,lower_leg ,3274.5,2170.5,,
upper_leg 0.91,upper_leg ,3110,264.5,,
lower_leg 0.87,lower_leg ,3255.5,2167,,
upper_leg 0.90,upper_leg ,3050,275.5,,
joint 0.90,joint ,3246,1164,,
lower_leg 0.87,lower_leg ,3255.5,2167,,
upper_leg 0.90,upper_leg ,3050,275.5,,
joint 0.90,joint ,3246,1164,,
lower_leg 0.90,lower_leg ,3216,2164,,
joint 0.90,joint ,3159.5,1169.5,,
upper_leg 0.91,upper_leg ,2915.5,306,,
lower_leg 0.90,lower_leg ,3176.5,2154.5,,
upper_leg 0.92,upper_leg ,2847,321.5,,
joint 0.93,joint ,3112.5,1169,,
lower_leg 0.91,lower_leg ,3134.5,2147,,
joint 0.91,joint ,3055,1167,,
upper_leg 0.92,upper_leg ,2770.5,329,,
lower_leg 0.89,lower_leg ,3114,2129.5,,
upper_leg 0.92,upper_leg ,2720.5,331,,
joint 0.92,joint ,3034.5,1149,,
lower_leg 0.89,lower_leg ,3114,2129.5,,
upper_leg 0.92,upper_leg ,2720.5,331,,
joint 0.92,joint ,3034.5,1149,,
lower_leg 0.89,lower_leg ,2762.5,2109.5,,
joint 0.90,joint ,2961,1142,,
upper_leg 0.91,upper_leg ,2664,316.5,,
lower_leg 0.90,lower_leg ,2432.5,2075,,
upper_leg 0.91,upper_leg ,2581,324,,
joint 0.93,joint ,2817,1150.5,,
lower_leg 0.89,lower_leg ,2078,2023,,
upper_leg 0.91,upper_leg ,2464,327,,
joint 0.93,joint ,2645.5,1178,,
lower_leg 0.88,lower_leg ,1804.5,1987,,
upper_leg 0.92,upper_leg ,2325,327,,
joint 0.93,joint ,2436,1186,,
lower_leg 0.89,lower_leg ,1637,2016,,
joint 0.90,joint ,2242.5,1187.5,,
upper_leg 0.92,upper_leg ,2170.5,320,,
lower_leg 0.89,lower_leg ,1637,2016,,
joint 0.90,joint ,2242.5,1187.5,,
upper_leg 0.92,upper_leg ,2170.5,320,,
lower_leg 0.86,lower_leg ,1503.5,2089,,
upper_leg 0.92,upper_leg ,1964,320.5,,
joint 0.92,joint ,2009.5,1204,,
lower_leg 0.88,lower_leg ,1446,2116,,
upper_leg 0.90,upper_leg ,1892.5,314.5,,
joint 0.92,joint ,1942.5,1214.5,,
lower_leg 0.88,lower_leg ,1446,2116,,
upper_leg 0.90,upper_leg ,1892.5,314.5,,
joint 0.92,joint ,1942.5,1214.5,,
joint 0.90,joint ,1699,1226,,
upper_leg 0.91,upper_leg ,1711,310.5,,
lower_leg 0.91,lower_leg ,1300,2173.5,,
lower_leg 0.89,lower_leg ,1241.5,2194,,
joint 0.90,joint ,1592,1230.5,,
upper_leg 0.91,upper_leg ,1616,307.5,,
lower_leg 0.89,lower_leg ,1241.5,2194,,
joint 0.90,joint ,1592,1230.5,,
upper_leg 0.91,upper_leg ,1616,307.5,,
upper_leg 0.87,upper_leg ,1496.5,303,,
lower_leg 0.89,lower_leg ,1170.5,2223,,
joint 0.91,joint ,1472.5,1242.5,,
joint 0.90,joint ,1403.5,1244.5,,
lower_leg 0.91,lower_leg ,1131.5,2237,,
upper_leg 0.92,upper_leg ,1432.5,308.5,,
lower_leg 0.90,lower_leg ,1110,2251.5,,
joint 0.91,joint ,1347.5,1254.5,,
upper_leg 0.91,upper_leg ,1373.5,309.5,,
lower_leg 0.88,lower_leg ,1093,2259.5,,
joint 0.91,joint ,1321.5,1262,,
upper_leg 0.93,upper_leg ,1336.5,314.5,,
lower_leg 0.88,lower_leg ,1093,2259.5,,
joint 0.91,joint ,1321.5,1262,,
upper_leg 0.93,upper_leg ,1336.5,314.5,,
joint 0.89,joint ,1291.5,1265.5,,
upper_leg 0.91,upper_leg ,1278,313,,
lower_leg 0.91,lower_leg ,1078,2275,,
joint 0.90,joint ,1279.5,1270,,
lower_leg 0.90,lower_leg ,1069.5,2280,,
upper_leg 0.92,upper_leg ,1256,321,,
lower_leg 0.31,lower_leg ,605.5,2961,,
lower_leg 0.89,lower_leg ,1042,2287,,
joint 0.90,joint ,1235,1274.5,,
upper_leg 0.91,upper_leg ,1209,327,,
joint 0.90,joint ,1181,1273,,
lower_leg 0.90,lower_leg ,1020.5,2291,,
upper_leg 0.92,upper_leg ,1144,325.5,,
joint 0.90,joint ,1181,1273,,
lower_leg 0.90,lower_leg ,1020.5,2291,,
upper_leg 0.92,upper_leg ,1144,325.5,,
lower_leg 0.90,lower_leg ,982,2291,,
joint 0.90,joint ,1109.5,1270,,
upper_leg 0.92,upper_leg ,1053,330,,
joint 0.90,joint ,1079.5,1272.5,,
lower_leg 0.90,lower_leg ,971.5,2291,,
upper_leg 0.92,upper_leg ,1020.5,335,,
joint 0.90,joint ,1078,1273,,
lower_leg 0.91,lower_leg ,972.5,2287,,
upper_leg 0.92,upper_leg ,1010,336.5,,
joint 0.90,joint ,1078,1273,,
lower_leg 0.91,lower_leg ,972.5,2287,,
upper_leg 0.92,upper_leg ,1010,336.5,,
lower_leg 0.91,lower_leg ,973.5,2275,,
upper_leg 0.92,upper_leg ,1014,336.5,,
joint 0.92,joint ,1076.5,1261,,
lower_leg 0.90,lower_leg ,981,2267.5,,
joint 0.91,joint ,1089.5,1260.5,,
upper_leg 0.92,upper_leg ,1022,340.5,,
lower_leg 0.90,lower_leg ,992,2261,,
joint 0.91,joint ,1110.5,1258.5,,
upper_leg 0.92,upper_leg ,1039,344.5,,
lower_leg 0.89,lower_leg ,998,2256.5,,
upper_leg 0.90,upper_leg ,1053.5,350,,
joint 0.91,joint ,1119,1256.5,,
lower_leg 0.89,lower_leg ,998,2256.5,,
upper_leg 0.90,upper_leg ,1053.5,350,,
joint 0.91,joint ,1119,1256.5,,
lower_leg 0.89,lower_leg ,994.5,2247,,
joint 0.90,joint ,1122,1248,,
upper_leg 0.90,upper_leg ,1062,347,,
lower_leg 0.89,lower_leg ,995.5,2250,,
upper_leg 0.90,upper_leg ,1061,350.5,,
joint 0.91,joint ,1120.5,1250,,
lower_leg 0.89,lower_leg ,998.5,2256.5,,
upper_leg 0.90,upper_leg ,1066.5,353.5,,
joint 0.92,joint ,1125.5,1250,,
lower_leg 0.89,lower_leg ,998.5,2256.5,,
upper_leg 0.90,upper_leg ,1066,353.5,,
joint 0.92,joint ,1125.5,1250,,
lower_leg 0.91,lower_leg ,1021,2247,,
upper_leg 0.91,upper_leg ,1101.5,362,,
joint 0.91,joint ,1164.5,1257,,
lower_leg 0.87,lower_leg ,1055.5,2239,,
joint 0.91,joint ,1212,1256.5,,
upper_leg 0.91,upper_leg ,1119,369,,
lower_leg 0.89,lower_leg ,1148,2203,,
joint 0.90,joint ,1352,1249,,
upper_leg 0.91,upper_leg ,1188.5,377,,
lower_leg 0.90,lower_leg ,1293,2155,,
upper_leg 0.91,upper_leg ,1309.5,370.5,,
joint 0.92,joint ,1545,1209.5,,
lower_leg 0.89,lower_leg ,1468,2145.5,,
joint 0.89,joint ,1660.5,1187,,
upper_leg 0.91,upper_leg ,1399,358,,
lower_leg 0.89,lower_leg ,1468,2145.5,,
joint 0.89,joint ,1660.5,1187,,
upper_leg 0.91,upper_leg ,1399,358,,
lower_leg 0.91,lower_leg ,1731.5,2123.5,,
upper_leg 0.91,upper_leg ,1482.5,345,,
joint 0.91,joint ,1808,1147,,
lower_leg 0.89,lower_leg ,1814.5,2089,,
upper_leg 0.92,upper_leg ,1530.5,336.5,,
joint 0.94,joint ,1879.5,1121,,
lower_leg 0.89,lower_leg ,1814.5,2089,,
upper_leg 0.92,upper_leg ,1530.5,336.5,,
joint 0.94,joint ,1879.5,1121,,
lower_leg 0.90,lower_leg ,1975,2053,,
upper_leg 0.90,upper_leg ,1613.5,301,,
joint 0.91,joint ,2003.5,1076,,
lower_leg 0.88,lower_leg ,2051.5,2062.5,,
upper_leg 0.92,upper_leg ,1626.5,309,,
joint 0.92,joint ,2023.5,1082,,
lower_leg 0.88,lower_leg ,2051.5,2062.5,,
upper_leg 0.92,upper_leg ,1626.5,309,,
joint 0.92,joint ,2023.5,1082,,
joint 0.90,joint ,2051.5,1098,,
lower_leg 0.90,lower_leg ,2139,2072,,
upper_leg 0.91,upper_leg ,1656.5,321,,
joint 0.90,joint ,2067,1100.5,,
lower_leg 0.90,lower_leg ,2171.5,2084,,
upper_leg 0.91,upper_leg ,1670,324.5,,
lower_leg 0.89,lower_leg ,2182.5,2103,,
joint 0.90,joint ,2084.5,1115.5,,
upper_leg 0.91,upper_leg ,1695.5,335,,
lower_leg 0.89,lower_leg ,2182.5,2103,,
joint 0.90,joint ,2084.5,1115.5,,
upper_leg 0.91,upper_leg ,1695.5,335,,
lower_leg 0.89,lower_leg ,2204.5,2151.5,,
joint 0.90,joint ,2092,1165.5,,
upper_leg 0.91,upper_leg ,1722,365,,
upper_leg 0.89,upper_leg ,1759.5,366.5,,
joint 0.90,joint ,2119,1179,,
lower_leg 0.90,lower_leg ,2228,2172,,
upper_leg 0.89,upper_leg ,1759.5,366.5,,
joint 0.90,joint ,2119,1179,,
lower_leg 0.90,lower_leg ,2228,2172,,
lower_leg 0.88,lower_leg ,2311,2197,,
joint 0.90,joint ,2220,1204,,
upper_leg 0.91,upper_leg ,1869,372,,
joint 0.87,joint ,2300,1199,,
lower_leg 0.89,lower_leg ,2358,2198.5,,
upper_leg 0.90,upper_leg ,1957.5,365.5,,
joint 0.87,joint ,2300,1199,,
lower_leg 0.89,lower_leg ,2358,2198.5,,
upper_leg 0.90,upper_leg ,1957.5,365.5,,
lower_leg 0.87,lower_leg ,2450,2201.5,,
joint 0.91,joint ,2445.5,1200,,
upper_leg 0.92,upper_leg ,2132.5,342.5,,
lower_leg 0.85,lower_leg ,2481,2200,,
joint 0.91,joint ,2501.5,1200.5,,
upper_leg 0.92,upper_leg ,2219,331,,
joint 0.49,joint ,2096.5,2944,,
lower_leg 0.88,lower_leg ,2509,2201.5,,
upper_leg 0.89,upper_leg ,2290.5,310.5,,
joint 0.89,joint ,2564.5,1196,,
joint 0.49,joint ,2096.5,2944,,
lower_leg 0.88,lower_leg ,2509,2201.5,,
upper_leg 0.89,upper_leg ,2290.5,310.5,,
joint 0.89,joint ,2564.5,1196,,
joint 0.29,joint ,2076.5,2942.5,,
lower_leg 0.87,lower_leg ,2547,2211,,
upper_leg 0.90,upper_leg ,2425,290,,
joint 0.91,joint ,2648,1201.5,,
joint 0.38,joint ,2078,2944,,
lower_leg 0.87,lower_leg ,2559,2214,,
upper_leg 0.90,upper_leg ,2480,284.5,,
joint 0.91,joint ,2684.5,1203,,
lower_leg 0.89,lower_leg ,2564,2220.5,,
joint 0.90,joint ,2694,1207,,
upper_leg 0.90,upper_leg ,2518.5,280,,
lower_leg 0.88,lower_leg ,2557.5,2220,,
upper_leg 0.90,upper_leg ,2537.5,276,,
joint 0.91,joint ,2689,1207,,
lower_leg 0.88,lower_leg ,2559,2220,,
upper_leg 0.90,upper_leg ,2537.5,276,,
joint 0.91,joint ,2687.5,1207,,
lower_leg 0.88,lower_leg ,2556,2223.5,,
upper_leg 0.91,upper_leg ,2558,268,,
joint 0.91,joint ,2684,1208.5,,
lower_leg 0.88,lower_leg ,2556,2223.5,,
joint 0.91,joint ,2684,1209.5,,
upper_leg 0.91,upper_leg ,2558,268,,
lower_leg 0.88,lower_leg ,2564.5,2222,,
joint 0.90,joint ,2692,1209.5,,
upper_leg 0.91,upper_leg ,2573.5,267,,
joint 0.29,joint ,2076.5,2941,,
lower_leg 0.88,lower_leg ,2570,2220.5,,
joint 0.90,joint ,2717.5,1216,,
upper_leg 0.91,upper_leg ,2601.5,270.5,,
joint 0.25,joint ,2073.5,2941,,
lower_leg 0.87,lower_leg ,2572,2217.5,,
joint 0.90,joint ,2717,1214.5,,
upper_leg 0.91,upper_leg ,2606,272.5,,
lower_leg 0.86,lower_leg ,2570.5,2208,,
joint 0.91,joint ,2721.5,1203,,
upper_leg 0.91,upper_leg ,2619,275.5,,
lower_leg 0.86,lower_leg ,2572,2206.5,,
joint 0.91,joint ,2717.5,1200.5,,
upper_leg 0.91,upper_leg ,2615.5,277,,
lower_leg 0.86,lower_leg ,2572,2206.5,,
joint 0.91,joint ,2717.5,1200.5,,
upper_leg 0.91,upper_leg ,2615.5,277,,
lower_leg 0.88,lower_leg ,2578,2197,,
upper_leg 0.91,upper_leg ,2630,284.5,,
joint 0.93,joint ,2731,1199,,
lower_leg 0.90,lower_leg ,2578.5,2194,,
upper_leg 0.91,upper_leg ,2631.5,290.5,,
joint 0.92,joint ,2732.5,1198,,
lower_leg 0.90,lower_leg ,2578.5,2194,,
upper_leg 0.91,upper_leg ,2631.5,290.5,,
joint 0.92,joint ,2732.5,1198,,
lower_leg 0.88,lower_leg ,2611,2185.5,,
upper_leg 0.91,upper_leg ,2662.5,304,,
joint 0.93,joint ,2773.5,1200,,
lower_leg 0.89,lower_leg ,2635.5,2173.5,,
upper_leg 0.90,upper_leg ,2700,315.5,,
joint 0.93,joint ,2820.5,1197.5,,
lower_leg 0.89,lower_leg ,2635.5,2173.5,,
upper_leg 0.90,upper_leg ,2700,315.5,,
joint 0.93,joint ,2820.5,1197.5,,
lower_leg 0.89,lower_leg ,2700,2155,,
upper_leg 0.91,upper_leg ,2803,347.5,,
joint 0.94,joint ,2959.5,1208,,
joint 0.86,joint ,2997,1194.5,,
lower_leg 0.90,lower_leg ,2719,2131.5,,
upper_leg 0.92,upper_leg ,2811,344.5,,
lower_leg 0.91,lower_leg ,2678,2095.5,,
upper_leg 0.92,upper_leg ,2825,333,,
joint 0.93,joint ,3026.5,1173.5,,
lower_leg 0.90,lower_leg ,2525,2073.5,,
upper_leg 0.90,upper_leg ,2789,323,,
joint 0.91,joint ,2951.5,1173.5,,
lower_leg 0.90,lower_leg ,2234.5,2056.5,,
joint 0.91,joint ,2751.5,1176.5,,
upper_leg 0.91,upper_leg ,2680,322,,
lower_leg 0.90,lower_leg ,2234.5,2056.5,,
joint 0.91,joint ,2751.5,1176.5,,
upper_leg 0.91,upper_leg ,2680,322,,
lower_leg 0.89,lower_leg ,1647,1991,,
joint 0.91,joint ,2245.5,1155.5,,
upper_leg 0.91,upper_leg ,2328,292.5,,
lower_leg 0.89,lower_leg ,1561.5,2025,,
upper_leg 0.90,upper_leg ,2189,285.5,,
joint 0.90,joint ,2106,1159,,
lower_leg 0.89,lower_leg ,1561.5,2025,,
upper_leg 0.90,upper_leg ,2189,285.5,,
joint 0.90,joint ,2106,1159,,
upper_leg 0.89,upper_leg ,2009.5,298.5,,
joint 0.89,joint ,1931,1183,,
lower_leg 0.90,lower_leg ,1443,2084.5,,
lower_leg 0.87,lower_leg ,1388.5,2100,,
joint 0.90,joint ,1847,1188,,
upper_leg 0.92,upper_leg ,1923.5,304.5,,
lower_leg 0.87,lower_leg ,1388.5,2100,,
joint 0.90,joint ,1847,1188,,
upper_leg 0.92,upper_leg ,1923.5,304.5,,
lower_leg 0.88,lower_leg ,1275,2142.5,,
upper_leg 0.89,upper_leg ,1756.5,289.5,,
joint 0.91,joint ,1673,1194,,
joint 0.90,joint ,1583,1218.5,,
upper_leg 0.91,upper_leg ,1675.5,303.5,,
lower_leg 0.91,lower_leg ,1223.5,2179.5,,
lower_leg 0.88,lower_leg ,1183.5,2197,,
joint 0.90,joint ,1525.5,1233,,
upper_leg 0.91,upper_leg ,1612.5,321,,
lower_leg 0.88,lower_leg ,1141,2226.5,,
joint 0.90,joint ,1462.5,1253,,
upper_leg 0.91,upper_leg ,1547.5,330.5,,
lower_leg 0.88,lower_leg ,1141,2226.5,,
joint 0.90,joint ,1462.5,1253,,
upper_leg 0.91,upper_leg ,1547.5,330.5,,
lower_leg 0.89,lower_leg ,1089,2248.5,,
joint 0.90,joint ,1365.5,1265.5,,
upper_leg 0.92,upper_leg ,1425.5,341.5,,
lower_leg 0.88,lower_leg ,1061.5,2259.5,,
joint 0.91,joint ,1325.5,1269.5,,
upper_leg 0.93,upper_leg ,1366,334.5,,
lower_leg 0.88,lower_leg ,1061.5,2259.5,,
joint 0.91,joint ,1325.5,1269.5,,
upper_leg 0.93,upper_leg ,1366,335,,
lower_leg 0.91,lower_leg ,1028.5,2275,,
joint 0.91,joint ,1236.5,1268.5,,
upper_leg 0.92,upper_leg ,1240,328,,
lower_leg 0.90,lower_leg ,1015,2282.5,,
joint 0.90,joint ,1205,1271,,
upper_leg 0.91,upper_leg ,1190.5,323.5,,
lower_leg 0.25,lower_leg ,594,2953.5,,
lower_leg 0.90,lower_leg ,1015,2282.5,,
joint 0.90,joint ,1205,1271,,
upper_leg 0.91,upper_leg ,1190.5,323.5,,
lower_leg 0.41,lower_leg ,578.5,2962.5,,
joint 0.89,joint ,1146,1279,,
lower_leg 0.91,lower_leg ,982.5,2289,,
upper_leg 0.91,upper_leg ,1103,331,,
joint 0.90,joint ,1117,1271.5,,
lower_leg 0.91,lower_leg ,977,2287,,
upper_leg 0.92,upper_leg ,1055,329,,
joint 0.90,joint ,1117,1272.5,,
lower_leg 0.91,lower_leg ,977,2287,,
upper_leg 0.92,upper_leg ,1055,329,,
lower_leg 0.90,lower_leg ,971,2287,,
joint 0.90,joint ,1105,1274,,
upper_leg 0.92,upper_leg ,1041,336.5,,
joint 0.91,joint ,1103,1275,,
lower_leg 0.91,lower_leg ,972.5,2287,,
upper_leg 0.92,upper_leg ,1042,338,,
joint 0.91,joint ,1103,1275,,
lower_leg 0.91,lower_leg ,972.5,2287,,
upper_leg 0.92,upper_leg ,1042,338,,
lower_leg 0.89,lower_leg ,961,2278,,
joint 0.90,joint ,1093,1270.5,,
upper_leg 0.92,upper_leg ,1044,339,,
lower_leg 0.88,lower_leg ,955.5,2273.5,,
joint 0.91,joint ,1091.5,1268,,
